Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,FStil13.png,2529.37,2742.772,216.637,1172,993,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,16.252281188964844,1769406
Cheyenne_20240702_1420,FStil06.png,865.201,1055.167,193.307,909,853,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,49.805721282958984,1575880
Cheyenne_20240702_1420,FStil06.png,1071.829,1298.475,229.974,837,905,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,34.4326057434082,1575880
Cheyenne_20240702_1420,FStil06.png,1311.808,1491.782,183.301,893,920,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,40.23249816894531,1575880
Cheyenne_20240702_1420,FStil06.png,1908.39,2181.686,276.635,1238,940,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,32.2750244140625,1575880
Cheyenne_20240702_1420,FStil06.png,2195.02,2364.999,173.293,1312,874,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,45.348628997802734,1575880
Cheyenne_20240702_1420,FStil16.png,160.444,383.855,226.64,799,1071,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,10.615948677062988,1857811
Cheyenne_20240702_1420,FStil16.png,403.853,543.831,143.218,733,700,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,3,75.99615478515625,49651
Cheyenne_20240702_1420,FStil16.png,1446.936,1646.909,203.416,1601,1019,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,25.254772186279297,1857811
Cheyenne_20240702_1420,FStil16.png,1710.34,1820.239,113.324,1696,125,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,24.587553024291992,1857811
Cheyenne_20240702_1420,FStil24.png,242.08,388.73,149.881,740,522,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,118.48060607910156,1743624
Cheyenne_20240702_1420,FStil24.png,405.297,625.264,223.408,196,233,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,110.69065856933594,1743624
Cheyenne_20240702_1420,FStil20.png,264.375,520.893,259.956,1008,560,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,47.602088928222656,1811529
Cheyenne_20240702_1420,FStil20.png,544.316,651.004,109.898,1419,442,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,4,259.9402160644531,39762
Cheyenne_20240702_1420,FStil20.png,984.286,1184.267,203.178,724,1063,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,7.669790267944336,1811529
